date,instrument,direction,inside_day,b5_origin,rev10,rev20,rev30,rev40,dist_atr,vol_ratio,prevday_body,poc_dist_atr,on_ret_pct
2021-02-05,ES,1,0,2,2,1,1,1,0.267212,0.9088224,0.9361702,1.916055,0.5238988
2021-02-08,ES,1,0,2,2,1,1,1,0.1825476,0.8139662,-0.2658228,1.490237,0.4059017
2021-02-10,ES,1,0,2,2,2,2,2,0.1592606,0.9558098,0.3623188,2.027479,0.4736303
2021-02-22,ES,-1,0,2,2,2,1,1,0.03540718,1.146215,-0.7105263,-0.9061682,-0.7749456
2021-02-23,ES,-1,0,2,0,0,2,2,1.394636,1.906366,0.04273504,-2.658727,-0.651697
2021-03-11,ES,1,0,2,0,0,0,0,0.05073689,0.7887567,-0.05343511,0.3298064,0.6863814
2021-03-16,ES,1,0,2,2,2,1,1,0.06835937,0.1198555,0.4521277,1.051244,0.1449549
2021-03-25,ES,-1,0,2,0,0,2,2,0.2025665,1.300387,-0.6714286,-0.9692438,-0.3866976
2021-04-01,ES,1,0,2,0,0,1,1,0.09824897,1.058269,0.4311927,1.448493,0.4850394
2021-04-05,ES,1,0,2,0,0,0,1,0.7074422,0.9993856,0.8269231,2.172164,0.717047
2021-04-08,ES,1,0,2,0,1,1,1,0.02789956,0.8206931,0.4098361,0.2029869,0.3255928
2021-04-09,ES,1,0,1,0,0,0,1,0.05391528,0.8325306,0.3823529,0.5773616,-0.03668154
2021-04-16,ES,1,0,2,2,1,1,1,0.1456058,1.181164,0.8514851,1.497459,0.3362757
2021-04-29,ES,1,0,2,2,2,2,2,0.3145246,1.172727,-0.1904762,0.6976601,0.7000957
2021-06-01,ES,1,0,2,2,2,1,1,0.07790143,0.943582,-0.8,0.526025,0.8947211
2021-06-03,ES,-1,1,1,2,2,2,1,0.2810707,0.9457431,-0.01282051,-0.9209719,-0.6002972
2021-06-10,ES,1,0,1,2,2,1,1,0.3189873,1.115149,-0.8472222,0.5581951,0.3140369
2021-06-18,ES,-1,0,2,0,0,0,1,0.1153954,2.431754,0.1006711,-1.31934,-0.8724036
2021-06-24,ES,1,0,2,1,1,1,1,0.2291811,0.9318048,-0.3333333,1.347312,0.5316949
2021-06-25,ES,1,0,2,0,1,1,1,0.07822979,0.8066195,0.1842105,1.642075,0.193844
2021-06-29,ES,1,0,2,2,1,1,1,0.1191141,0.819698,0.1690141,0.4892193,0.09345249
2021-07-01,ES,1,0,2,0,1,1,1,0.1490716,0.8601092,0.530303,0.4094734,0.1808107
2021-07-02,ES,1,0,2,0,0,1,1,0.3075838,0.8751103,0.88,1.152977,0.2725902
2021-07-19,ES,-1,0,2,0,0,0,0,0.2916667,2.306614,-0.8980583,-2.983036,-1.209771
2021-08-06,ES,1,0,2,2,1,1,1,0.1941916,0.9027958,0.746988,0.9804247,0.07915866
2021-08-11,ES,1,0,2,2,1,1,1,0.05961071,0.8050484,0.03125,0.338039,0.259579
2021-08-13,ES,1,0,2,1,1,1,1,0.08284024,0.6443283,0.5673077,1.046506,0.112246
2021-08-19,ES,-1,0,2,2,2,2,1,0.3640662,1.809258,-0.6550218,-1.864902,-0.6768286
2021-08-30,ES,1,0,2,0,0,1,1,0.05254692,0.9701475,0.8413793,0.8969069,0.1831299
2021-09-02,ES,1,0,2,2,1,1,1,0.1331924,0.9351554,-0.4761905,0.58104,0.3317116
2021-09-20,ES,-1,0,2,0,0,0,0,1.360119,2.270624,-0.8125,-2.122414,-1.487557
2021-10-15,ES,1,0,2,0,0,1,1,0.308189,0.882492,0.8231707,1.583502,0.5193046
2021-10-19,ES,1,0,2,0,0,1,1,0.1764525,0.7491134,0.7674419,2.351365,0.3741554
2021-10-20,ES,1,0,2,0,1,1,1,0.0814951,0.6513757,0.73,2.806676,0.08865739
2021-10-22,ES,1,0,1,2,2,2,1,0.04034582,0.7548918,0.745098,0.3939602,-0.1101079
2021-10-26,ES,1,0,2,0,2,1,1,0.3906187,1.041199,0.3546099,1.257434,0.3563401
2021-11-01,ES,1,0,2,2,2,1,1,0.07159461,0.9650034,0.8220859,0.7977965,0.2338354
2021-11-04,ES,1,0,2,0,1,1,1,0.1255937,0.8222224,0.7784091,2.604781,0.1235961
2021-11-05,ES,1,0,2,2,2,2,1,1.032223,1.323892,0.7901235,3.40314,0.5081301
2021-11-22,ES,1,0,1,0,0,2,2,0.2748268,1.144249,-0.2886598,1.077797,0.3994674
2021-12-16,ES,1,0,2,0,2,2,2,0.04247397,1.221026,0.7044335,0.3686204,0.4201904
2021-12-20,ES,-1,0,2,0,0,0,1,0.5035347,1.654389,-0.2425373,-0.7449437,-1.209721
2021-12-27,ES,1,0,1,0,0,0,0,0.1341784,0.5999379,0.5174825,2.013478,0.3128314
2021-12-28,ES,1,0,2,2,2,1,1,0.1003184,0.6695132,0.9814815,2.798147,0.09408813
2022-01-04,ES,1,0,2,2,2,2,2,0.1007986,1.029658,0.3396226,0.5408899,0.3081584
2022-01-10,ES,-1,0,2,0,0,0,0,0.7246377,1.565657,-0.3989071,-3.010932,-0.7496653
2022-01-21,ES,-1,0,2,2,2,0,2,0.3661088,1.553159,-0.5548902,-1.883041,-0.2682014
2022-01-24,ES,-1,0,2,0,0,0,0,1.02112,1.857707,-0.7542998,-3.597433,-1.351043
2022-02-02,ES,1,0,2,2,2,0,1,0.1282008,0.8502377,0.3358209,0.4978122,0.5623863
2022-02-24,ES,-1,0,2,2,2,2,2,1.043197,1.411113,-0.8974895,-2.607559,-2.616623
2022-03-03,ES,1,0,2,0,2,2,2,0.0607089,0.8108911,0.673913,0.3730745,0.5934041
2022-03-16,ES,1,0,1,2,0,2,2,0.04517917,1.093202,0.7544379,0.9297924,0.9109029
2022-03-21,ES,1,0,1,2,2,2,2,0.1039373,0.9462597,0.8333333,0.6439184,-0.02807254
2022-03-22,ES,1,0,1,0,0,0,1,0.08845993,0.9497817,0.02586207,0.3018762,0.320009
2022-03-25,ES,1,0,2,0,0,1,1,0.0309001,0.9239155,0.7869565,0.7236664,0.1550989
2022-03-29,ES,1,0,2,2,2,2,1,0.5117009,1.382296,0.6666667,0.9271171,0.8973517
2022-04-06,ES,-1,0,2,0,2,2,1,0.5412579,1.609199,-0.5061728,-0.9693127,-0.9621233
2022-04-21,ES,1,0,2,2,2,2,2,0.2687877,0.995183,-0.5337423,1.116285,0.8696628
2022-04-22,ES,-1,0,1,2,2,0,0,0.2167742,1.295331,-0.8197674,-0.5671557,-0.2620336
2022-04-25,ES,-1,0,2,2,0,2,2,0.489301,1.471489,-0.9133192,-2.173497,-0.5914388
2022-05-12,ES,-1,0,2,2,2,2,2,0.2401163,1.256354,-0.4371134,-1.07778,-0.8901322
2022-05-27,ES,1,0,2,0,0,0,0,0.2153118,0.9926685,0.7703488,1.884781,0.6411047
2022-06-10,ES,-1,0,2,0,0,0,0,0.8288651,0.9252107,-0.7681159,-2.137265,-1.631382
2022-06-13,ES,-1,0,2,2,0,0,0,1.13661,0.6775303,-0.8408163,-3.832084,-2.578245
2022-06-16,ES,-1,0,2,2,0,0,0,0.2558041,1.455601,0.1610879,-4.863856,-2.318535
2022-06-24,ES,1,0,1,0,0,0,0,0.09351113,1.177531,0.25,0.8214851,0.8687068
2022-06-28,ES,1,0,1,2,2,2,2,0.1388891,1.138214,-0.5923567,0.4232851,0.3776725
2022-07-14,ES,-1,0,1,2,2,2,2,0.1682004,1.184909,0.5050505,-1.769102,-1.406784
2022-07-22,ES,1,0,2,2,2,2,2,0.07274617,1.133472,0.6597938,1.039428,0.01249141
2022-07-29,ES,1,0,2,0,0,0,0,0.2287362,1.057559,0.4783862,1.748056,0.3866691
2022-08-08,ES,1,0,1,2,2,2,2,0.1567164,1.01755,0.826087,0.6929437,0.4401833
2022-08-10,ES,1,0,2,2,0,1,1,0.09727852,1.016822,-0.3300971,1.152606,1.793939
2022-08-11,ES,1,0,2,0,0,2,2,0.4062589,0.7324698,0.3333333,1.868928,0.7125045
2022-08-22,ES,-1,0,2,0,0,0,0,0.4909866,1.112232,-0.7073171,-1.846972,-1.211584
2022-08-29,ES,-1,0,2,2,0,2,1,0.3411697,1.285669,-0.9577703,-1.627445,-0.7637349
2022-09-01,ES,-1,0,2,0,0,0,2,0.3464567,1.215798,-0.7751004,-0.8443461,-0.6003918
2022-09-09,ES,1,0,2,0,0,0,0,0.1827489,0.7801846,0.7426471,1.097202,0.5866567
2022-09-12,ES,1,0,2,0,0,1,1,0.265333,0.4273013,0.7352941,2.453165,0.5594148
2022-09-16,ES,-1,0,2,0,2,2,1,0.5574256,1.713654,-0.3896552,-1.392034,-1.148325
2022-09-22,ES,-1,0,2,0,0,1,1,0.2774588,1.513307,-0.7340206,-1.344688,-0.216877
2022-09-23,ES,-1,0,2,0,0,0,0,0.5993022,1.355113,-0.566474,-2.284374,-0.9678489
2022-10-04,ES,1,0,1,0,0,0,1,0.2353436,1.291849,0.585752,0.7509283,1.571283
2022-10-13,ES,-1,1,2,2,2,2,2,0.7427204,1.269919,-0.4680851,-3.179349,-2.069686
2022-10-18,ES,1,1,2,2,2,2,2,0.3836982,1.223077,0.6768293,1.636099,2.262873
2022-10-24,ES,1,0,2,0,0,0,0,0.04441127,0.9287912,0.8092105,0.9362504,0.4184656
2022-11-01,ES,1,1,2,2,2,2,2,0.01155354,0.6873907,-0.04651163,0.4034253,1.004443
2022-11-03,ES,-1,0,2,0,0,0,1,0.4166841,0.9058233,-0.6524064,-1.776273,-0.9291213
2022-11-15,ES,1,0,2,2,2,2,2,0.1059459,0.8892423,-0.2663551,2.982719,1.493384
2022-12-01,ES,1,0,2,0,2,2,2,0.2058824,1.051951,0.8490231,0.2360538,0.3184518
2022-12-13,ES,1,0,2,0,2,2,2,0.1377341,0.473516,0.8609865,2.793327,2.855354
2022-12-16,ES,-1,0,2,2,0,0,0,0.09603979,1.294696,-0.6343042,-0.8959188,-0.7257448
2023-01-09,ES,1,0,2,0,0,0,1,0.1746748,1.233932,0.5513784,1.447644,0.5936802
2023-02-17,ES,-1,0,1,0,2,1,1,0.003913894,1.232769,-0.08290155,-0.9363584,-0.5732057
2023-02-21,ES,-1,1,2,0,0,0,0,0.0333036,0.9120603,-0.6470588,-1.301663,-0.7483285
2023-02-24,ES,-1,0,2,0,2,1,1,0.2734375,1.260651,-0.1625,-0.8641924,-1.33126
2023-03-02,ES,-1,0,2,2,2,2,2,0.1653137,0.814384,-0.1791045,-1.480738,-0.5748216
2023-03-06,ES,1,0,2,0,0,1,1,0.2173913,0.9315336,0.8045455,1.499518,0.2099154
2023-03-10,ES,-1,0,1,0,2,2,2,0.3571902,1.243728,-0.7460317,-1.837156,-0.1721829
2023-03-13,ES,-1,0,2,2,2,2,2,0.4945652,0.8108938,-0.5762712,-2.912601,-1.067961
2023-03-21,ES,1,1,2,2,2,1,1,0.3402592,0.8508869,0.7017544,1.83375,0.8909524
2023-03-30,ES,1,0,2,2,2,1,1,0.100847,0.8684468,0.4871795,0.5895716,0.6467508
2023-03-31,ES,1,0,2,0,0,0,0,0.1553532,0.995111,-0.1603774,0.8304172,0.2328003
2023-04-14,ES,1,0,1,2,2,2,2,0.1003796,1.280948,0.8190476,1.214155,-0.167735
2023-04-18,ES,1,1,2,2,2,2,1,0.04882302,0.8724711,0.5462185,1.492922,0.3890119
2023-05-01,ES,1,0,1,0,1,1,1,0.02925198,0.7225316,0.972973,0.8211748,-0.1253133
2023-05-19,ES,1,0,2,2,2,2,1,0.1745908,1.065909,0.8669951,1.929082,0.2018403
2023-05-30,ES,1,0,2,2,2,2,1,0.07139822,1.581418,0.4642857,0.615089,0.1952778
2023-06-02,ES,1,0,2,2,2,0,1,0.7179487,1.61866,0.6072874,1.343453,0.6148389
2023-06-05,ES,1,0,1,2,2,2,1,0.04433888,1.060331,0.7076923,1.919269,0.06411377
2023-06-09,ES,1,0,1,0,2,1,1,0.1531987,1.040092,0.6644737,0.5363511,0.1745099
2023-06-13,ES,1,0,2,2,2,1,1,0.619682,0.3210319,0.7682119,1.94945,0.3223207
2023-06-30,ES,1,0,2,0,0,1,1,0.9818648,0.9848421,0.8035714,1.473925,0.7156542
2023-07-12,ES,1,0,2,0,1,1,1,0.5166581,1.341118,0.5479452,2.128928,0.8830762
2023-07-13,ES,1,0,2,0,0,1,1,0.1723289,1.069222,-0.1214953,2.541378,0.3714587
2023-07-14,ES,1,0,1,2,2,1,1,0.01378631,0.9212471,0.553719,3.147976,0.1926146
2023-07-19,ES,1,0,2,2,1,1,1,0.2535211,1.234748,0.7664975,4.66677,0.1634788
2023-07-27,ES,1,0,2,2,2,2,2,0.619469,1.118768,0.2972973,1.397134,0.7179766
2023-08-03,ES,-1,0,2,2,2,2,1,0.4111888,1.188523,-0.7411765,-2.390703,-0.5070267
2023-08-11,ES,-1,0,2,2,2,2,1,0.1854656,0.987512,-0.3192982,-0.4626579,-0.4625244
2023-08-18,ES,-1,0,2,0,2,2,1,0.2721495,1.330247,-0.8646288,-2.534707,-0.6843846
2023-08-30,ES,1,0,2,0,0,1,1,0.06552992,0.8341085,0.9219858,1.331662,0.07212605
2023-09-21,ES,-1,0,2,0,0,0,1,1.088369,1.578291,-0.898374,-2.525752,-0.725045
2023-09-25,ES,-1,0,2,2,2,1,1,0.07848887,1.140746,-0.497006,-3.497634,-0.3037946
2023-10-23,ES,-1,0,2,2,2,2,2,0.50627,1.101435,-0.8727273,-3.034498,-0.4060257
2023-10-26,ES,-1,0,2,0,0,0,0,0.04833142,1.361012,-0.8693467,-1.020187,-0.3325218
2023-11-02,ES,1,0,2,0,0,0,0,0.2696359,1.228894,0.7106599,2.348559,0.8810055
2023-11-03,ES,1,0,2,0,0,1,1,0.5218935,0.9288956,0.9602273,3.464574,0.5361776
2023-11-14,ES,1,0,2,0,0,0,1,1.135003,1.334035,0.3389831,2.22997,1.378375
2023-11-22,ES,1,1,1,2,2,1,1,0.1581921,1.161558,0.05882353,1.303252,0.3405845
2023-11-29,ES,1,0,2,2,2,2,1,0.2770833,1.029018,0.2857143,0.72534,0.4821125
2023-12-13,ES,1,0,2,0,0,0,0,0.05607832,1.046556,0.6917808,2.471035,0.05924618
2023-12-14,ES,1,0,2,2,2,2,2,0.659049,1.34403,0.9,4.612092,0.3780718
2023-12-19,ES,1,0,1,0,1,1,1,0.04402869,0.8528127,0.4886364,0.9375408,0.09910803
2024-01-12,ES,1,0,1,2,2,2,1,0.04964539,1.184743,-0.2058824,0.8214041,0.2959655
2024-01-22,ES,1,0,2,2,1,1,1,0.3719807,1.091818,0.8227848,1.795115,0.3079608
2024-01-24,ES,1,1,2,2,2,1,1,0.502627,0.8302384,0.3956044,0.8619649,0.587364
2024-02-09,ES,1,0,1,0,0,1,1,0.09722222,0.9096373,0.25,0.2752075,0.05979669
2024-02-22,ES,1,0,2,0,0,0,0,0.1121417,1.275269,0.4522293,1.773096,1.331131
2024-02-23,ES,1,0,2,2,2,2,1,0.324558,0.9537326,0.6351351,3.044316,0.3285924
2024-03-08,ES,1,0,1,0,2,2,2,0.1237445,1.492204,0.4496644,1.442733,0.1017491
2024-03-21,ES,1,0,2,2,1,1,1,0.5122838,0.9014033,0.8274336,1.508957,0.5153421
2024-04-02,ES,-1,0,2,0,1,1,1,0.441733,1.277788,-0.5071429,-1.152598,-0.7697393
2024-05-06,ES,1,0,2,0,0,1,1,0.250275,0.7453712,0.025,0.7149772,0.4704855
2024-05-07,ES,1,0,2,0,1,1,1,0.1334786,0.7154071,0.8507463,1.215379,0.1776455
2024-05-10,ES,1,0,2,2,2,1,1,0.3477181,0.82888,0.7832168,0.8224337,0.3101589
2024-05-15,ES,1,0,2,2,0,0,0,0.4429764,0.9757279,0.6590909,1.016543,0.4745184
2024-05-30,ES,-1,0,2,0,0,0,1,0.1444653,1.274016,0.2820513,-1.413873,-0.3356974
2024-06-06,ES,1,0,2,2,2,2,1,0.1281953,0.9016953,0.6446281,1.622377,0.05124383
2024-06-12,ES,1,0,2,0,2,1,1,1.097648,1.269219,0.5615764,1.563055,0.8543834
2024-06-20,ES,1,0,2,2,2,2,2,0.1789694,1.024176,-0.6153846,1.615924,0.1528296
2024-07-05,ES,1,1,1,2,0,0,1,0.0274586,1.024543,-0.6585366,1.506177,0.06710208
2024-07-08,ES,1,0,2,2,1,1,1,0.2113532,1.0272,0.7345679,2.987978,0.1245109
2024-07-09,ES,1,0,1,2,1,1,1,0.02172788,0.8322102,-0.06741573,3.114211,0.151044
2024-07-11,ES,1,0,1,2,2,2,2,0.03482587,1.393399,0.8557214,1.665464,0.004396571
2024-07-24,ES,-1,0,1,0,0,0,0,0.05892669,1.43602,-0.248227,-1.388417,-0.8975218
2024-08-02,ES,-1,0,2,0,0,0,0,0.2849102,1.718709,-0.6233974,-0.8681831,-1.391233
2024-08-05,ES,-1,0,2,2,2,2,2,1.636691,1.680166,-0.3304094,-3.302586,-4.031621
2024-08-15,ES,1,0,2,0,0,0,0,0.3995354,0.8279303,0.1836735,1.699703,1.045614
2024-08-19,ES,1,0,1,2,0,0,0,0.00695019,0.5431405,0.7419355,2.216467,0.07170708
2024-08-20,ES,1,0,1,2,2,2,1,0.04496281,0.514204,0.8441558,1.681863,-0.08879418
2024-08-22,ES,1,0,2,2,2,2,2,0.05447471,0.5112764,0.2155689,0.4294947,0.3279996
2024-09-13,ES,1,0,2,0,0,1,1,0.1606503,0.719157,0.6104869,1.865136,0.07584545
2024-09-17,ES,1,0,2,2,2,2,2,0.272175,0.2841669,0.3488372,2.474329,0.3857067
2024-09-19,ES,1,0,2,2,0,0,0,0.05022165,1.417099,-0.3291925,0.8133674,1.716323
2024-09-26,ES,1,0,2,2,2,2,1,0.2517043,1.200289,-0.3577236,0.5646118,0.7656372
2024-10-02,ES,-1,0,1,2,2,2,2,0.1411615,1.024886,-0.627451,-0.9367236,-0.1866157
2024-10-14,ES,1,0,2,0,0,0,1,0.3555556,0.9176691,0.7833333,2.831902,0.2901271
2024-11-06,ES,1,0,2,2,2,0,0,0.7199224,1.685219,0.952381,3.461505,2.167555
2024-11-07,ES,1,0,2,0,0,0,1,0.1776149,0.9290121,0.2792453,3.834501,0.3273185
2024-11-25,ES,1,0,2,2,2,2,2,0.2551979,1.270132,0.5772358,1.853427,0.6807551
2024-12-04,ES,1,0,2,0,0,1,1,0.2531073,0.6660897,0.2297297,1.35955,0.2845243
2024-12-20,ES,-1,0,2,0,0,2,2,0.2732697,1.924193,-0.7414966,-4.694422,-0.4549859
2025-01-13,ES,-1,0,2,2,2,2,2,0.1939885,1.31784,-0.7091503,-1.452064,-0.835251
2025-01-17,ES,1,0,2,0,0,0,1,0.1777679,1.296101,-0.7234043,1.901491,0.8450115
2025-01-21,ES,1,0,2,0,0,1,1,0.09672962,0.9986485,0.1612903,2.488207,0.5096967
2025-01-22,ES,1,0,2,0,0,1,1,0.3705682,0.9203468,0.52,3.378289,0.4887867
2025-01-24,ES,1,0,1,2,2,2,1,0.03321909,0.7138047,0.9356725,2.474582,-0.02437637
2025-02-03,ES,-1,0,2,0,0,0,2,0.2489049,1.454876,-0.6416667,-1.228672,-1.525207
2025-02-14,ES,1,0,1,2,1,1,1,0.01422403,0.6740128,0.7638376,0.7196723,-0.01222444
2025-02-25,ES,-1,0,1,0,0,0,0,0.03318659,1.415126,-0.7290076,-2.732885,-0.02915573
2025-03-04,ES,-1,0,2,2,0,0,0,0.1992069,2.755375,-0.6961484,-2.056573,-0.7462368
2025-03-24,ES,1,0,2,0,0,0,1,0.211578,0.73375,0.7214286,0.7197645,1.189955
2025-03-31,ES,-1,0,2,2,2,2,2,0.8788748,1.252818,-0.8684211,-1.97641,-1.084541
2025-04-03,ES,-1,0,2,0,0,0,0,0.1074644,1.38863,0.7548638,-1.423013,-3.467601
2025-04-04,ES,-1,0,2,2,2,2,2,1.639145,1.612977,-0.6785714,-3.818296,-2.649007
2025-04-07,ES,-1,0,2,0,2,2,2,1.751814,1.780434,-0.8676123,-6.253769,-3.264168
2025-04-28,ES,1,0,2,2,2,2,2,0.09169536,0.7469967,0.5084175,1.223248,0.1577074
2025-05-01,ES,1,0,2,0,0,0,0,0.2445805,0.7757687,0.4479339,0.4052211,1.092407
2025-05-02,ES,1,0,2,2,2,0,1,0.03466861,0.755068,-0.3137255,0.836088,1.093333
2025-05-12,ES,1,1,2,0,0,0,0,0.8418765,1.426758,-0.4631579,1.391126,3.038175
2025-05-13,ES,1,0,2,0,0,0,0,0.128804,1.130455,0.231405,1.9063,0.09378863
2025-05-23,ES,-1,0,2,0,2,2,2,0.6317322,1.779645,0.05741627,-1.535851,-1.271657
2025-06-04,ES,1,0,1,2,1,1,1,0.02520576,0.8715847,0.7169811,1.122699,0.1295662
2025-06-06,ES,1,0,1,2,2,2,1,0.1705989,1.178903,-0.588785,1.534626,0.9247194
