date,instrument,realized_range_atr,rth_ret_pct,on_ret_pct
2021-01-25,ES,1.608322,0.1952617,0.2152501
2021-01-26,ES,0.5450569,-0.4082162,0.2533455
2021-01-27,ES,2.271005,-1.497635,-0.9499024
2021-01-28,ES,1.496933,0.331807,0.4867965
2021-01-29,ES,1.975031,-1.462766,-0.5225213
2021-02-01,ES,1.269347,0.6415826,0.9649123
2021-02-02,ES,0.7394898,0.5066789,0.9163955
2021-02-03,ES,0.6134511,-0.1371742,0.2291476
2021-02-04,ES,0.6682464,0.8611129,0.2681842
2021-02-09,ES,0.3227531,0.1602667,-0.2366334
2021-02-11,ES,0.6868825,-0.1212972,0.294532
2021-02-12,ES,0.5960443,0.7432562,-0.2428891
2021-02-16,ES,0.5154278,-0.399442,-0.1898494
2021-02-17,ES,0.7498002,0.5246321,-0.5028964
2021-02-18,ES,0.9101796,0.3142033,-0.7446538
2021-02-19,ES,0.7419805,-0.5160879,0.3260036
2021-02-24,ES,1.920898,1.409726,-0.3094379
2021-02-25,ES,2.898793,-2.066671,-0.3379671
2021-02-26,ES,1.641148,-1.065904,0.5226708
2021-03-01,ES,1.125838,1.01069,1.399291
2021-03-02,ES,0.6993099,-0.8331731,0.07696748
2021-03-03,ES,1.0253,-1.11399,-0.2132747
2021-03-04,ES,2.213636,-1.173232,-0.07204611
2021-03-05,ES,1.977907,0.8275319,0.9815625
2021-03-08,ES,0.911221,-0.7534914,0.2800938
2021-03-09,ES,0.6498486,0.3172959,1.073369
2021-03-10,ES,0.4412897,-0.0448833,0.6713142
2021-03-12,ES,0.4,0.5162195,-0.3492951
2021-03-15,ES,0.6181306,0.5385883,0.0634035
2021-03-17,ES,0.69359,0.6730159,-0.3546867
2021-03-18,ES,0.8900385,-0.7684979,-0.7000505
2021-03-19,ES,0.6873024,-0.1089115,-0.09600614
2021-03-22,ES,0.6795171,0.6531762,0.1539251
2021-03-23,ES,0.7875163,-0.6054426,-0.1717776
2021-03-24,ES,0.8683245,-0.9005557,0.3911259
2021-03-26,ES,1.18671,1.264852,0.3268602
2021-03-29,ES,0.76014,0.3546324,-0.3848095
2021-03-30,ES,0.5002128,0.1076563,-0.3533792
2021-03-31,ES,0.5689191,0.2969421,0.1265182
2021-04-06,ES,0.3706586,0.07386434,-0.1352348
2021-04-07,ES,0.32324,0.1538178,-0.03075409
2021-04-12,ES,0.43255,0.2005957,-0.1577957
2021-04-13,ES,0.6220797,0.3094848,-0.03033244
2021-04-14,ES,0.8314176,-0.2964487,-0.006049607
2021-04-15,ES,0.7062937,0.5191042,0.5279126
2021-04-19,ES,0.9569213,-0.2279954,-0.2513615
2021-04-20,ES,1.314783,-0.404272,-0.3367611
2021-04-21,ES,1.54,1.10457,-0.1756937
2021-04-22,ES,1.691074,-0.8647091,-0.03601657
2021-04-23,ES,1.59751,0.9194846,0.1332606
2021-04-26,ES,0.3740178,0.04786693,0.1798238
2021-04-27,ES,0.5455503,-0.09562515,0.06578554
2021-04-28,ES,0.6150628,-0.09564802,0.07178751
2021-04-30,ES,0.6327684,-0.06578947,-0.5649718
2021-05-03,ES,0.59545,-0.2858334,0.5027231
2021-05-04,ES,1.375123,-0.09604418,-0.5135861
2021-05-05,ES,0.6983834,-0.4009335,0.4085802
2021-05-06,ES,1.482511,0.7748213,0.03004086
2021-05-07,ES,0.9266096,0.5115394,0.2026463
2021-05-10,ES,1.236771,-1.058295,0.09468576
2021-05-11,ES,1.3125,0.2902582,-1.183149
2021-05-12,ES,1.84928,-1.409221,-0.7356045
2021-05-13,ES,1.190306,0.7793802,0.3943072
2021-05-14,ES,0.9534247,0.8222491,0.7185483
2021-05-17,ES,0.6132855,0.0421002,-0.2938355
2021-05-18,ES,0.8475889,-0.913242,0.06011783
2021-05-19,ES,1.099351,0.9762387,-1.243027
2021-05-20,ES,0.9250083,0.8432931,0.2249787
2021-05-21,ES,0.6838046,-0.4554717,0.3850319
2021-05-24,ES,0.5798293,0.4369949,0.5719446
2021-05-25,ES,0.552809,-0.48737,0.2801287
2021-05-26,ES,0.3309904,0.05368007,0.1373708
2021-05-27,ES,0.2956755,-0.2259484,0.2563338
2021-05-28,ES,0.28029,-0.2136499,0.4171633
2021-06-02,ES,0.4768559,-0.005943183,0.1726499
2021-06-04,ES,0.6483461,0.4275281,0.4653105
2021-06-07,ES,0.448,-0.07685941,0.005912612
2021-06-08,ES,0.8657505,-0.2007558,0.2070883
