,0
2018-01-03,25208.6842
2018-01-04,25268.0331
2018-01-05,25268.0331
2018-01-08,25299.1893
2018-01-09,25299.1893
2018-01-10,25299.1893
2018-01-11,25140.7038
2018-01-12,25172.356
2018-01-15,25238.3569
2018-01-16,25238.3569
2018-01-17,25454.0749
2018-01-18,25570.0172
2018-01-19,25570.0172
2018-01-22,25465.6926
2018-01-23,25629.3758
2018-01-24,25611.6082
2018-01-25,25718.0176
2018-01-26,25418.3396
2018-01-29,25541.6087
2018-01-30,25162.0505
2018-01-31,24929.1319
2018-02-01,24905.5371
2018-02-02,24882.5605
2018-02-05,25191.0266
2018-02-06,26078.544
2018-02-07,26331.5374
2018-02-08,26550.3652
2018-02-09,27592.3178
2018-02-12,27724.2363
2018-02-13,27515.3244
2018-02-14,27625.818
2018-02-15,28086.0516
2018-02-16,27987.9235
2018-02-19,27917.68
2018-02-20,27917.68
2018-02-21,27875.0292
2018-02-22,27927.3293
2018-02-23,28011.3988
2018-02-26,28276.4322
2018-02-27,28329.7682
2018-02-28,28572.4315
2018-03-01,28453.5765
2018-03-02,28512.1246
2018-03-05,28764.5978
2018-03-06,28922.7042
2018-03-07,28813.2241
2018-03-08,28549.5848
2018-03-09,28411.326
2018-03-12,28623.5738
2018-03-13,28528.5548
2018-03-14,28944.9769
2018-03-15,28582.0876
2018-03-16,28381.7276
2018-03-19,28414.5666
2018-03-20,28570.1668
2018-03-21,28346.9102
2018-03-22,28294.0087
2018-03-23,28070.5773
2018-03-26,27982.9078
2018-03-27,28454.1963
2018-03-28,29423.0184
2018-03-29,27970.4687
2018-04-02,28232.9651
2018-04-03,28589.2913
2018-04-04,28353.017
2018-04-05,29159.8594
2018-04-06,28538.9633
2018-04-09,28872.8306
2018-04-10,29161.1413
2018-04-11,28783.2301
2018-04-12,28671.1008
2018-04-13,28317.8318
2018-04-16,28497.8201
2018-04-17,28290.6892
2018-04-18,28450.9026
2018-04-19,28241.3161
2018-04-20,28235.8447
2018-04-23,28391.2916
2018-04-24,28154.0244
2018-04-25,28750.3654
2018-04-26,28819.5799
2018-04-27,28966.2972
2018-04-30,29176.4672
2018-05-01,29280.2774
2018-05-02,29582.1355
2018-05-03,29324.0238
2018-05-04,29179.9691
2018-05-07,29706.155
2018-05-08,29631.7004
2018-05-09,29294.7367
2018-05-10,29483.6334
2018-05-11,29557.5303
2018-05-14,29446.3465
2018-05-15,29452.3161
2018-05-16,28951.1283
2018-05-17,28942.4388
2018-05-18,28768.86
2018-05-21,28636.2452
2018-05-22,28652.4731
2018-05-23,28701.8628
2018-05-24,28972.1165
2018-05-25,28932.5935
2018-05-28,28932.5935
2018-05-29,28932.5935
2018-05-30,28747.986
2018-05-31,28735.2756
2018-06-01,28338.7067
2018-06-04,28470.9124
2018-06-05,28490.4201
2018-06-06,28377.3384
2018-06-07,28271.4146
2018-06-08,28346.8329
2018-06-11,28162.2283
2018-06-12,28110.8222
