date,release,time_et
2018-01-02,ISM_Manufacturing_PMI,10:00
2018-01-04,ISM_Services_PMI,10:00
2018-01-12,UoM_Sentiment_prelim,10:00
2018-01-26,UoM_Sentiment_final,10:00
2018-01-30,CB_Consumer_Confidence,10:00
2018-02-01,ISM_Manufacturing_PMI,10:00
2018-02-05,ISM_Services_PMI,10:00
2018-02-09,UoM_Sentiment_prelim,10:00
2018-02-23,UoM_Sentiment_final,10:00
2018-02-27,CB_Consumer_Confidence,10:00
2018-03-01,ISM_Manufacturing_PMI,10:00
2018-03-05,ISM_Services_PMI,10:00
2018-03-09,UoM_Sentiment_prelim,10:00
2018-03-27,CB_Consumer_Confidence,10:00
2018-03-30,UoM_Sentiment_final,10:00
2018-04-02,ISM_Manufacturing_PMI,10:00
2018-04-04,ISM_Services_PMI,10:00
2018-04-13,UoM_Sentiment_prelim,10:00
2018-04-24,CB_Consumer_Confidence,10:00
2018-04-27,UoM_Sentiment_final,10:00
2018-05-01,ISM_Manufacturing_PMI,10:00
2018-05-03,ISM_Services_PMI,10:00
2018-05-11,UoM_Sentiment_prelim,10:00
2018-05-25,UoM_Sentiment_final,10:00
2018-05-29,CB_Consumer_Confidence,10:00
2018-06-01,ISM_Manufacturing_PMI,10:00
2018-06-05,ISM_Services_PMI,10:00
2018-06-08,UoM_Sentiment_prelim,10:00
2018-06-26,CB_Consumer_Confidence,10:00
2018-06-29,UoM_Sentiment_final,10:00
2018-07-02,ISM_Manufacturing_PMI,10:00
2018-07-05,ISM_Services_PMI,10:00
2018-07-13,UoM_Sentiment_prelim,10:00
2018-07-27,UoM_Sentiment_final,10:00
2018-07-31,CB_Consumer_Confidence,10:00
2018-08-01,ISM_Manufacturing_PMI,10:00
2018-08-03,ISM_Services_PMI,10:00
2018-08-10,UoM_Sentiment_prelim,10:00
2018-08-28,CB_Consumer_Confidence,10:00
2018-08-31,UoM_Sentiment_final,10:00
2018-09-04,ISM_Manufacturing_PMI,10:00
2018-09-06,ISM_Services_PMI,10:00
