date,r_pre60,r_last60,r_pre30,r_last30,atr_pct,year,instrument,agree60,agree30
2021-01-25,-8.461338,28.0112,-16.2718,35.85631,1.027913,2021,ES,0,0
2021-01-26,-19.43886,-21.4244,-12.95924,-27.89853,1.05803,2021,ES,1,1
2021-01-27,-162.9007,13.3547,-177.3516,28.08613,0.9660498,2021,ES,0,0
2021-01-28,114.8052,-80.69807,78.97007,-45.4306,1.081691,2021,ES,0,0
2021-01-29,-130.984,-15.49552,-95.07979,-51.68826,1.141242,2021,ES,1,1
2021-02-01,83.5394,-19.22057,76.85625,-12.60114,1.258342,2021,ES,0,0
2021-02-02,92.78147,-41.72643,84.22715,-33.27896,1.308059,2021,ES,0,0
2021-02-03,15.67705,-29.34846,3.266053,-16.97793,1.373608,2021,ES,0,0
2021-02-04,63.27875,22.68897,58.05989,27.88948,1.376476,2021,ES,1,1
2021-02-05,-18.0157,4.512054,-25.0933,11.61066,1.34842,2021,ES,0,0
2021-02-08,1.283368,32.08007,7.058522,26.29048,1.370912,2021,ES,1,1
2021-02-09,28.848,-12.78445,21.79627,-5.757052,1.370509,2021,ES,0,0
2021-02-10,-33.12524,-17.89595,-42.04357,-8.955988,1.279963,2021,ES,1,1
2021-02-11,-37.66599,25.63281,-28.08989,16.00512,1.338374,2021,ES,0,0
2021-02-12,32.67764,41.51233,39.72576,34.46295,1.36523,2021,ES,1,1
2021-02-16,-28.53157,-11.44529,-31.70175,-8.268668,1.29162,2021,ES,1,1
2021-02-17,36.46833,15.93676,44.78567,7.643312,1.143406,2021,ES,1,1
2021-02-18,37.83264,-6.388144,41.68003,-10.21711,1.070856,2021,ES,0,0
2021-02-19,-42.68875,-8.95828,-35.68015,-15.98568,0.9789287,2021,ES,1,1
2021-02-22,49.05441,-45.60344,17.42723,-14.17526,0.9114715,2021,ES,0,0
2021-02-23,53.90661,20.67183,109.1122,-34.05075,0.8475677,2021,ES,1,0
2021-02-24,125.4527,15.32763,144.8526,-3.824579,0.9459759,2021,ES,1,0
2021-02-25,-161.8786,-45.52549,-209.8663,3.26776,0.9844337,2021,ES,1,0
2021-02-26,-37.69661,-69.15449,-48.74561,-58.12814,1.164324,2021,ES,1,1
2021-03-01,127.632,-26.22825,122.449,-21.12135,1.243001,2021,ES,0,0
2021-03-02,-20.50888,-62.93751,-50.63129,-32.85236,1.393047,2021,ES,1,1
