date,r_pre60,r_last60,r_pre30,r_last30,atr_pct,year,instrument,agree60,agree30
2021-01-26,-19.71926,-22.35799,-13.10293,-28.96819,1.128668,2021,SPY,1,1
2021-01-27,-162.2659,9.089208,-177.7825,24.90093,1.104002,2021,SPY,0,0
2021-01-28,116.4058,-79.33797,81.72323,-45.20951,1.190065,2021,SPY,0,0
2021-01-29,-127.2732,-19.418,-91.46098,-55.49061,1.214725,2021,SPY,1,1
2021-02-01,81.58571,-17.51174,73.85513,-9.851275,1.315498,2021,SPY,0,0
2021-02-02,90.60261,-40.97933,80.59418,-31.0916,1.365436,2021,SPY,0,0
2021-02-03,15.68915,-30.80699,1.8304,-16.99346,1.420988,2021,SPY,0,0
2021-02-04,60.04752,22.31853,54.30384,28.04394,1.422679,2021,SPY,1,1
2021-02-05,-19.44523,5.032063,-27.04304,12.65431,1.428498,2021,SPY,0,0
2021-02-08,0.7706139,30.30848,5.90804,25.15852,1.379582,2021,SPY,1,1
2021-02-09,31.8316,-13.81816,23.8737,-5.890186,1.365862,2021,SPY,0,0
2021-02-10,-33.40984,-18.16833,-43.22877,-8.324688,1.27646,2021,SPY,1,1
2021-02-11,-39.6075,23.60245,-30.79164,14.73849,1.334974,2021,SPY,0,0
2021-02-12,31.29168,39.37612,39.24284,31.42485,1.361408,2021,SPY,1,1
2021-02-16,-31.46729,-13.23762,-34.25874,-10.44027,1.289144,2021,SPY,1,1
2021-02-17,36.13964,14.01078,44.82238,5.354684,1.306984,2021,SPY,1,1
2021-02-18,38.24828,-8.438819,41.07198,-11.24859,1.154416,2021,SPY,0,0
2021-02-19,-43.35629,-9.477459,-36.72533,-16.12656,1.094655,2021,SPY,1,1
2021-02-22,47.79621,-48.34023,16.01819,-16.76641,0.9883112,2021,SPY,0,0
2021-02-23,51.59597,20.55831,107.3508,-34.71776,0.9204282,2021,SPY,1,0
2021-02-24,127.3852,15.8507,146.027,-2.551867,0.9491939,2021,SPY,1,0
2021-02-25,-162.8639,-47.37733,-210.494,1.046326,1.007016,2021,SPY,1,0
2021-02-26,-38.75767,-67.63285,-49.94277,-56.46764,1.147402,2021,SPY,1,1
2021-03-01,126.2803,-24.07047,121.0943,-18.9588,1.237706,2021,SPY,0,0
2021-03-02,-21.03265,-64.51613,-51.81214,-33.77594,1.365932,2021,SPY,1,1
2021-03-03,-46.13431,-68.48067,-73.34837,-41.25326,1.42374,2021,SPY,1,1
2021-03-04,-104.1393,-14.57919,-139.8667,21.60218,1.455009,2021,SPY,1,0
2021-03-05,70.31887,14.22661,75.18204,9.392856,1.618648,2021,SPY,1,1
