,0
2025-10-02,25031.836
2025-10-03,24974.4155
2025-10-06,25058.5556
2025-10-07,25032.9605
2025-10-08,25159.0104
2025-10-09,25282.027
2025-10-10,25216.6405
2025-10-13,26076.293
2025-10-14,25834.9852
2025-10-15,25967.1012
2025-10-16,25983.4544
2025-10-17,26095.1434
2025-10-20,25982.6579
2025-10-21,26005.5282
2025-10-22,25984.9796
2025-10-23,26018.8992
2025-10-24,26158.7412
2025-10-27,25979.6365
2025-10-28,26015.7124
2025-10-29,26058.2962
2025-10-30,25991.6948
2025-10-31,25890.5091
2025-11-03,25517.1836
2025-11-04,25569.1181
2025-11-05,25720.9667
2025-11-06,25862.3804
2025-11-07,26176.1964
2025-11-10,26236.8463
2025-11-11,26259.179
2025-11-12,26230.4766
2025-11-13,26152.1854
2025-11-14,26174.2979
2025-11-17,26522.9328
2025-11-18,26521.2855
2025-11-19,26154.2029
2025-11-20,26193.468
2025-11-21,26957.7698
2025-11-24,26806.5638
2025-11-25,27130.5275
2025-11-26,27059.5138
2025-11-27,26980.2476
2025-11-28,26980.2476
2025-12-01,27013.6377
2025-12-02,26934.8213
2025-12-03,26750.2947
2025-12-04,26860.7423
2025-12-05,26554.8011
2025-12-08,26482.74
2025-12-09,26557.5848
2025-12-10,26594.5749
2025-12-11,26593.6062
2025-12-12,26211.3021
2025-12-15,26517.5245
2025-12-16,26519.5013
2025-12-17,25738.6907
2025-12-18,26159.1049
2025-12-19,25574.1878
2025-12-22,25644.8645
2025-12-23,25617.1314
2025-12-24,25563.7392
2025-12-25,25549.416
2025-12-26,25549.416
2025-12-29,25526.1832
2025-12-30,25304.4707
2025-12-31,25216.3343
2026-01-02,25329.0063
2026-01-05,25496.6731
2026-01-06,25299.622
2026-01-07,25186.255
2026-01-08,25139.8177
2026-01-09,25095.9369
2026-01-12,25005.9065
2026-01-13,25051.5166
2026-01-14,24739.2362
2026-01-15,24693.7317
2026-01-16,24796.5156
2026-01-19,24902.2598
2026-01-20,24973.0544
2026-01-21,25030.1993
2026-01-22,25108.3982
2026-01-23,24903.1917
2026-01-26,24968.6805
2026-01-27,24984.1475
2026-01-28,25030.4629
2026-01-29,25074.8944
2026-01-30,25437.6954
2026-02-02,25355.788
2026-02-03,25508.9512
2026-02-04,25879.4265
2026-02-05,26033.0939
2026-02-06,25457.6781
2026-02-09,25601.7951
2026-02-10,25857.9483
2026-02-11,25793.4386
2026-02-12,25844.1993
2026-02-13,26365.9661
2026-02-16,26172.161
2026-02-17,26107.2236
2026-02-18,26157.4635
2026-02-19,26212.1664
2026-02-20,26105.5198
2026-02-23,26163.0143
2026-02-24,26331.984
2026-02-25,26408.617
2026-02-26,26498.3907
2026-02-27,26656.6943
2026-03-02,26380.6821
2026-03-03,26676.2468
2026-03-04,26629.7225
2026-03-05,26666.2326
2026-03-06,26407.6287
2026-03-09,26366.3873
2026-03-10,26614.2682
2026-03-11,26561.8352
2026-03-12,26288.29
2026-03-13,26206.3928
2026-03-16,26411.7368
2026-03-17,25965.9086
2026-03-18,25839.6946
2026-03-19,25985.7008
2026-03-20,25668.4768
2026-03-23,25929.7819
2026-03-24,26070.3213
2026-03-25,25624.3594
2026-03-26,25077.9074
2026-03-27,25368.9169
2026-03-30,25420.9579
2026-03-31,25315.9818
2026-04-01,25567.4813
2026-04-02,25324.6055
2026-04-06,25631.1618
2026-04-07,25348.6816
2026-04-08,25229.3295
2026-04-09,25057.9913
2026-04-10,25117.6851
2026-04-13,25004.1569
2026-04-14,25268.085
2026-04-15,25474.817
2026-04-16,25734.4628
2026-04-17,25499.5665
