,0
2018-01-03,25257.4719
2018-01-04,25471.2232
2018-01-05,25330.8245
2018-01-08,25420.4129
2018-01-09,25392.6195
2018-01-10,25426.7012
2018-01-11,25305.4483
2018-01-12,25332.5824
2018-01-15,25495.532
2018-01-16,25421.3484
2018-01-17,25740.855
2018-01-18,25924.9686
2018-01-19,25755.2056
2018-01-22,25676.9747
2018-01-23,25951.7625
2018-01-24,25906.8366
2018-01-25,25912.9168
2018-01-26,25912.9168
2018-01-29,26082.5575
2018-01-30,25884.9522
2018-01-31,25746.9163
2018-02-01,25585.0466
2018-02-02,25779.4255
2018-02-05,25982.5947
2018-02-06,27027.7964
2018-02-07,27353.5997
2018-02-08,27472.9662
2018-02-09,28236.8146
2018-02-12,28292.6677
2018-02-13,28174.016
2018-02-14,27726.519
2018-02-15,28164.5639
2018-02-16,28344.3424
2018-02-19,28329.2698
2018-02-20,28380.1399
2018-02-21,28604.7075
2018-02-22,28669.2429
2018-02-23,28582.1261
2018-02-26,28745.8163
2018-02-27,28745.8163
2018-02-28,29009.0717
2018-03-01,29315.4035
2018-03-02,29415.018
2018-03-05,29522.7735
2018-03-06,29812.4315
2018-03-07,29444.5916
2018-03-08,29500.5721
2018-03-09,29063.8664
2018-03-12,29262.2097
2018-03-13,29123.0211
2018-03-14,29596.3069
2018-03-15,29324.8952
2018-03-16,29324.8952
2018-03-19,29282.0415
2018-03-20,29475.1565
2018-03-21,29475.1565
2018-03-22,29437.2397
2018-03-23,29317.3497
2018-03-26,29261.3452
2018-03-27,29506.9603
2018-03-28,30233.9903
2018-03-29,28751.0589
2018-04-02,28973.5171
2018-04-03,29677.3766
2018-04-04,29561.3977
2018-04-05,29926.0276
2018-04-06,29372.2546
2018-04-09,29515.4377
2018-04-10,29903.6024
2018-04-11,29801.6577
2018-04-12,29236.5031
2018-04-13,29007.9605
2018-04-16,29026.4619
2018-04-17,28975.9498
2018-04-18,29316.2989
2018-04-19,29480.8088
2018-04-20,29276.5223
2018-04-23,29593.7729
2018-04-24,29607.2821
2018-04-25,30039.5865
2018-04-26,29995.1994
2018-04-27,30029.5556
2018-04-30,30435.3304
2018-05-01,30598.549
2018-05-02,30440.16
2018-05-03,30355.4649
2018-05-04,30486.5864
2018-05-07,31057.14
2018-05-08,30879.2997
2018-05-09,30156.7694
2018-05-10,30128.7984
2018-05-11,30150.9823
2018-05-14,30089.299
2018-05-15,30028.8371
2018-05-16,29611.9101
2018-05-17,29421.6064
2018-05-18,29488.1921
2018-05-21,29203.347
2018-05-22,29295.7517
2018-05-23,29258.5498
2018-05-24,29644.0729
2018-05-25,29782.7177
2018-05-28,29711.0509
2018-05-29,29735.5228
2018-05-30,29532.4404
2018-05-31,29551.3632
2018-06-01,29551.3632
2018-06-04,29829.1985
2018-06-05,29872.9617
2018-06-06,29769.8398
2018-06-07,29889.9463
2018-06-08,29932.4627
2018-06-11,29856.5332
2018-06-12,29743.0205
2018-06-13,29745.9076
2018-06-14,29862.7501
2018-06-15,29879.0105
2018-06-18,29685.2292
2018-06-19,29906.1885
