,0
2018-01-03,3.0
2018-01-04,1.0
2018-01-05,20.0
2018-01-08,8.0
2018-01-09,9.0
2018-01-10,9.0
2018-01-11,18.0
2018-01-12,21.0
2018-01-15,4.0
2018-01-16,28.0
2018-01-17,6.0
2018-01-18,10.0
2018-01-19,28.0
2018-01-22,29.0
2018-01-23,4.0
2018-01-24,11.0
2018-01-25,15.0
2018-01-26,0.0
2018-01-29,10.0
2018-01-30,29.0
2018-01-31,20.0
2018-02-01,22.0
2018-02-02,6.0
2018-02-05,18.0
2018-02-06,7.0
2018-02-07,16.0
2018-02-08,18.0
2018-02-09,10.0
2018-02-12,20.0
2018-02-13,11.0
2018-02-14,30.0
2018-02-15,6.0
2018-02-16,16.0
2018-02-19,12.0
2018-02-20,12.0
2018-02-21,6.0
2018-02-22,25.0
2018-02-23,13.0
2018-02-26,14.0
2018-02-27,0.0
2018-02-28,11.0
2018-03-01,10.0
2018-03-02,22.0
2018-03-05,17.0
2018-03-06,13.0
2018-03-07,29.0
2018-03-08,19.0
2018-03-09,43.0
2018-03-12,7.0
2018-03-13,22.0
2018-03-14,5.0
2018-03-15,28.0
2018-03-16,0.0
2018-03-19,18.0
2018-03-20,12.0
2018-03-21,0.0
2018-03-22,26.0
2018-03-23,26.0
2018-03-26,28.0
2018-03-27,19.0
2018-03-28,17.0
2018-03-29,50.0
2018-04-02,11.0
2018-04-03,2.0
2018-04-04,21.0
2018-04-05,17.0
2018-04-06,24.0
2018-04-09,24.0
2018-04-10,14.0
2018-04-11,21.0
2018-04-12,38.0
2018-04-13,23.0
2018-04-16,20.0
2018-04-17,22.0
2018-04-18,2.0
2018-04-19,4.0
2018-04-20,16.0
2018-04-23,5.0
2018-04-24,15.0
2018-04-25,10.0
2018-04-26,16.0
2018-04-27,10.0
2018-04-30,1.0
2018-05-01,14.0
2018-05-02,30.0
2018-05-03,21.0
2018-05-04,17.0
2018-05-07,4.0
2018-05-08,25.0
2018-05-09,48.0
2018-05-10,20.0
2018-05-11,14.0
2018-05-14,19.0
2018-05-15,20.0
2018-05-16,34.0
2018-05-17,20.0
2018-05-18,14.0
2018-05-21,31.0
2018-05-22,10.0
2018-05-23,27.0
2018-05-24,7.0
2018-05-25,12.0
2018-05-28,14.0
2018-05-29,7.0
2018-05-30,22.0
2018-05-31,11.0
2018-06-01,0.0
2018-06-04,4.0
2018-06-05,9.0
2018-06-06,21.0
2018-06-07,11.0
2018-06-08,19.0
2018-06-11,15.0
2018-06-12,15.0
2018-06-13,21.0
2018-06-14,9.0
2018-06-15,12.0
2018-06-18,20.0
2018-06-19,4.0
2018-06-20,5.0
2018-06-21,19.0
2018-06-22,10.0
2018-06-25,13.0
2018-06-26,7.0
2018-06-27,18.0
2018-06-28,12.0
2018-06-29,19.0
2018-07-02,28.0
2018-07-03,15.0
2018-07-04,11.0
2018-07-05,7.0
2018-07-06,13.0
2018-07-09,0.0
2018-07-10,19.0
2018-07-11,32.0
2018-07-12,34.0
2018-07-13,3.0
2018-07-16,12.0
2018-07-17,21.0
2018-07-18,1.0
2018-07-19,11.0
2018-07-20,24.0
2018-07-23,20.0
2018-07-24,5.0
2018-07-25,8.0
2018-07-26,17.0
2018-07-27,12.0
2018-07-30,2.0
2018-07-31,10.0
2018-08-01,7.0
2018-08-02,19.0
2018-08-03,4.0
2018-08-06,24.0
2018-08-07,18.0
2018-08-08,33.0
2018-08-09,18.0
2018-08-10,22.0
2018-08-13,27.0
2018-08-14,14.0
2018-08-15,7.0
2018-08-16,24.0
2018-08-17,17.0
2018-08-20,16.0
2018-08-21,10.0
2018-08-22,21.0
2018-08-23,7.0
2018-08-24,13.0
2018-08-27,11.0
2018-08-28,9.0
2018-08-29,35.0
2018-08-30,9.0
2018-08-31,19.0
2018-09-03,15.0
2018-09-04,11.0
2018-09-05,23.0
2018-09-06,30.0
2018-09-07,13.0
2018-09-10,10.0
2018-09-11,21.0
2018-09-12,5.0
2018-09-13,38.0
2018-09-14,14.0
2018-09-17,21.0
2018-09-18,11.0
2018-09-19,6.0
2018-09-20,15.0
2018-09-21,9.0
2018-09-24,10.0
2018-09-25,4.0
2018-09-26,22.0
2018-09-27,6.0
2018-09-28,15.0
2018-10-01,41.0
2018-10-02,19.0
2018-10-03,9.0
2018-10-04,34.0
2018-10-05,1.0
2018-10-08,16.0
2018-10-09,13.0
2018-10-10,28.0
2018-10-11,5.0
2018-10-12,34.0
2018-10-15,22.0
2018-10-16,19.0
2018-10-17,17.0
2018-10-18,12.0
2018-10-19,15.0
2018-10-22,16.0
2018-10-23,23.0
2018-10-24,16.0
2018-10-25,10.0
2018-10-26,7.0
2018-10-29,14.0
2018-10-30,12.0
2018-10-31,12.0
2018-11-01,18.0
2018-11-02,9.0
2018-11-05,5.0
2018-11-06,22.0
2018-11-07,14.0
2018-11-08,8.0
2018-11-09,29.0
2018-11-12,15.0
2018-11-13,10.0
2018-11-14,24.0
2018-11-15,16.0
2018-11-16,8.0
2018-11-19,28.0
2018-11-20,4.0
2018-11-21,15.0
2018-11-22,37.0
2018-11-23,25.0
2018-11-26,20.0
2018-11-27,28.0
2018-11-28,16.0
2018-11-29,17.0
2018-11-30,26.0
2018-12-03,21.0
2018-12-04,25.0
2018-12-06,21.0
2018-12-07,14.0
2018-12-10,9.0
2018-12-11,14.0
2018-12-12,26.0
2018-12-13,9.0
2018-12-14,19.0
2018-12-17,15.0
2018-12-18,9.0
2018-12-19,45.0
2018-12-20,13.0
2018-12-21,34.0
2018-12-24,9.0
2018-12-26,16.0
2018-12-27,9.0
2018-12-28,17.0
2018-12-31,14.0
2019-01-02,43.0
2019-01-03,3.0
2019-01-04,22.0
2019-01-07,5.0
2019-01-08,13.0
2019-01-09,13.0
2019-01-10,16.0
2019-01-11,12.0
2019-01-14,26.0
2019-01-15,11.0
2019-01-16,11.0
2019-01-17,18.0
2019-01-18,6.0
2019-01-21,16.0
2019-01-22,10.0
2019-01-23,5.0
2019-01-24,11.0
2019-01-25,20.0
2019-01-28,14.0
2019-01-29,16.0
2019-01-30,10.0
2019-01-31,15.0
2019-02-01,15.0
2019-02-04,14.0
2019-02-05,7.0
2019-02-06,9.0
2019-02-07,18.0
2019-02-08,18.0
2019-02-11,15.0
2019-02-12,16.0
2019-02-13,4.0
2019-02-14,30.0
2019-02-15,18.0
2019-02-18,22.0
2019-02-19,7.0
2019-02-20,6.0
2019-02-21,24.0
2019-02-22,11.0
2019-02-25,23.0
2019-02-26,13.0
2019-02-27,15.0
2019-02-28,7.0
2019-03-01,28.0
2019-03-04,0.0
2019-03-05,15.0
2019-03-06,12.0
2019-03-07,17.0
2019-03-08,11.0
2019-03-11,32.0
2019-03-12,1.0
2019-03-13,26.0
2019-03-14,19.0
2019-03-15,40.0
2019-03-18,11.0
2019-03-19,25.0
2019-03-20,28.0
2019-03-21,28.0
2019-03-22,3.0
2019-03-25,4.0
2019-03-26,24.0
2019-03-27,18.0
2019-03-28,14.0
2019-03-29,21.0
2019-04-01,41.0
2019-04-02,13.0
2019-04-03,15.0
2019-04-04,9.0
2019-04-05,16.0
2019-04-08,33.0
2019-04-09,10.0
2019-04-10,22.0
2019-04-11,26.0
2019-04-12,19.0
2019-04-15,32.0
2019-04-16,11.0
2019-04-17,29.0
2019-04-18,26.0
2019-04-22,12.0
2019-04-23,4.0
2019-04-24,2.0
2019-04-25,16.0
2019-04-26,17.0
2019-04-29,2.0
2019-04-30,20.0
2019-05-01,20.0
2019-05-02,21.0
2019-05-03,9.0
2019-05-06,6.0
2019-05-07,11.0
2019-05-08,4.0
2019-05-09,24.0
2019-05-10,11.0
2019-05-13,7.0
2019-05-14,18.0
2019-05-15,7.0
2019-05-16,4.0
2019-05-17,17.0
2019-05-20,43.0
2019-05-21,32.0
2019-05-22,15.0
2019-05-23,46.0
2019-05-24,24.0
2019-05-27,12.0
2019-05-28,43.0
2019-05-29,28.0
2019-05-30,31.0
2019-05-31,15.0
2019-06-03,16.0
2019-06-04,16.0
2019-06-05,11.0
2019-06-06,15.0
2019-06-07,14.0
2019-06-10,3.0
2019-06-11,12.0
2019-06-12,8.0
2019-06-13,17.0
2019-06-14,44.0
2019-06-17,18.0
2019-06-18,20.0
2019-06-19,11.0
2019-06-20,37.0
2019-06-21,12.0
2019-06-24,31.0
2019-06-25,20.0
2019-06-26,1.0
2019-06-27,11.0
2019-06-28,31.0
2019-07-01,15.0
2019-07-02,6.0
2019-07-03,25.0
2019-07-04,10.0
2019-07-05,7.0
