0,es_base,es_filt,nq_base,nq_filt
2018-01-02 16:00:00-05:00,100082.2908,100000.0,100140.1978,100000.0
2018-01-03 16:00:00-05:00,100160.0907,100077.736,100268.1914,100127.8144
2018-01-04 16:00:00-05:00,100037.8844,100077.736,100268.1914,100127.8144
2018-01-05 16:00:00-05:00,100123.3734,100163.2591,100393.7151,100253.1624
2018-01-08 16:00:00-05:00,100195.8133,100235.7278,100497.599,100356.9008
2018-01-09 16:00:00-05:00,100284.6558,100324.6057,100250.4741,100110.1219
2018-01-10 16:00:00-05:00,100406.1876,100446.1859,99940.9938,99801.0749
2018-01-11 16:00:00-05:00,100508.6254,100548.6645,100064.8871,99924.7947
2018-01-12 16:00:00-05:00,100592.7876,100548.6645,100176.9037,99924.7947
2018-01-16 16:00:00-05:00,100880.4992,100836.25,100740.5189,100486.9915
2018-01-17 16:00:00-05:00,101055.6169,101011.2908,100977.2271,100723.104
2018-01-18 16:00:00-05:00,101187.7963,101143.4122,100579.8147,100326.6918
2018-01-19 16:00:00-05:00,100899.9368,100855.679,100751.3701,100497.8155
2018-01-22 16:00:00-05:00,101002.8436,100958.5406,100886.2581,100632.364
2018-01-23 16:00:00-05:00,100901.9061,100857.6474,101052.1618,100797.8502
2018-01-24 16:00:00-05:00,100634.6747,100590.5333,100697.3411,100443.9224
2018-01-25 16:00:00-05:00,100373.9205,100329.8934,100565.1326,100312.0466
2018-01-26 16:00:00-05:00,100531.7907,100329.8934,100800.3184,100312.0466
2018-01-29 16:00:00-05:00,100206.12,100004.8768,100366.3001,99880.1307
2018-01-30 16:00:00-05:00,99770.0085,100004.8768,100166.6354,99880.1307
2018-01-31 16:00:00-05:00,99966.3742,100201.7049,100394.4204,100107.2643
2018-02-01 16:00:00-05:00,99527.3437,100201.7049,99809.049,100107.2643
2018-02-02 16:00:00-05:00,99763.2648,100439.2245,100121.9921,100421.1424
2018-02-05 16:00:00-05:00,99127.9387,100439.2245,99245.4979,100421.1424
2018-02-06 16:00:00-05:00,99435.7378,100751.0953,99733.8529,100915.2823
2018-02-07 16:00:00-05:00,98498.3745,99801.3323,98728.1976,99897.7142
2018-02-08 16:00:00-05:00,98979.2215,100288.54,99211.4837,100386.7252
2018-02-09 16:00:00-05:00,99465.5525,100288.54,99700.4821,100386.7252
2018-02-12 16:00:00-05:00,99015.4504,99834.7138,99055.2623,99737.0644
2018-02-13 16:00:00-05:00,99409.0338,100231.5537,99517.1863,100202.1677
2018-02-14 16:00:00-05:00,99741.1111,100566.3787,99872.3763,100559.8025
2018-02-15 16:00:00-05:00,100036.9829,100864.6985,100239.9398,100929.896
2018-02-16 16:00:00-05:00,100277.1278,101106.8304,99634.8281,100320.6193
2018-02-20 16:00:00-05:00,99938.8921,100765.7961,100273.6432,100963.8314
2018-02-21 16:00:00-05:00,100181.1152,101010.0234,100581.5767,101273.8844
2018-02-22 16:00:00-05:00,99474.0555,100297.1134,99802.8744,100489.8222
2018-02-23 16:00:00-05:00,98866.5715,100297.1134,99112.2683,100489.8222
2018-02-26 16:00:00-05:00,98407.3152,99831.2119,99312.5335,100692.8709
2018-02-27 16:00:00-05:00,98008.7491,99831.2119,98881.0996,100692.8709
