,QQQ_intraday_net,SPY_overnight_net,QQQ_overnight_net,SPY_buyhold,QQQ_overnight_gross,QQQ_buyhold
2008-01-03 21:00:00,100074.3493,100244.0315,99995.0,99930.8246,100000.0,100079.3493
2008-01-04 21:00:00,97035.5719,99461.8262,98721.4809,97488.9319,98731.4172,95814.3226
2008-01-07 21:00:00,96569.6007,100077.9161,98920.9371,97855.5617,98935.8301,95556.4372
2008-01-08 21:00:00,93943.9689,100511.5402,99121.3491,96022.4128,99141.219,93156.1198
2008-01-09 21:00:00,95554.5257,100658.5744,99433.0072,97385.1688,99457.8967,95060.5039
2008-01-10 21:00:00,96677.9481,99881.3348,98411.2957,98090.7582,98440.9023,95199.3652
2008-01-11 21:00:00,95316.0175,99143.7837,97873.2029,96866.3531,97907.5697,93354.4932
2008-01-14 21:00:00,95691.0765,99938.887,99157.7564,97855.5617,99197.4696,94961.3172
2008-01-15 21:00:00,94029.8283,98718.7417,98117.1002,95427.5042,98161.3565,92342.7891
2008-01-16 21:00:00,93740.0027,98305.9067,97311.2385,94867.1832,97360.0393,91311.2478
2008-01-17 21:00:00,91991.8814,98616.3961,97750.3303,92162.4239,97804.2194,90021.8211
2008-01-18 21:00:00,91342.7142,99314.652,98370.1144,91650.5257,98429.2353,89962.3091
2008-01-22 21:00:00,94239.2702,94782.0956,92877.2931,90633.6469,92938.0343,87641.341
2008-01-23 21:00:00,97513.9874,91956.0301,89403.9409,92432.2081,89467.0575,87304.1063
2008-01-24 21:00:00,99210.1939,92405.6381,89663.5587,93379.9115,89731.3319,89089.4664
2008-01-25 21:00:00,95139.0646,93434.6686,91575.7314,91989.4853,91649.4365,87264.4317
2008-01-28 21:00:00,95912.3645,93647.8097,91633.6048,93608.1904,91711.939,88038.0877
2008-01-29 21:00:00,95563.3343,94182.924,92041.9732,94127.0061,92125.242,88117.437
2008-01-30 21:00:00,95817.7109,93839.0539,91685.1168,93642.7781,91772.669,88018.2503
2008-01-31 21:00:00,98544.3257,92468.7496,90606.0168,95074.7095,90697.1273,89466.3757
2008-02-01 21:00:00,98755.9794,92787.0671,91405.0876,96465.1356,91501.5364,90458.2424
2008-02-04 21:00:00,97386.0511,92609.4293,91360.4274,95475.927,91461.4041,89168.8157
2008-02-05 21:00:00,96256.7334,91162.1798,89770.5171,92501.3835,89874.3097,86609.7996
2008-02-06 21:00:00,93928.2554,91737.1001,90280.0604,91809.6292,90388.9358,85002.9756
2008-02-07 21:00:00,95654.3419,91290.1403,89179.9657,92542.8888,89292.0339,85518.7463
2008-02-08 21:00:00,96535.2475,90917.0852,89361.6862,92086.3309,89478.4474,86490.7756
2008-02-11 21:00:00,97192.0742,90898.8799,89705.6467,92632.8168,89827.3312,87423.1303
2008-02-12 21:00:00,96047.3888,91573.1407,90250.7536,93331.4887,90377.6689,86927.197
2008-02-13 21:00:00,96908.2681,92315.156,91399.6053,94569.7288,91532.655,88831.581
2008-02-14 21:00:00,95001.9896,92465.8506,91537.911,93393.7465,91675.7387,87224.757
2008-02-15 21:00:00,95192.7615,92146.1819,91033.6957,93435.2518,91175.348,86927.197
2008-02-19 21:00:00,93151.2198,93233.1115,92234.0629,93407.5816,92382.1418,86193.2156
2008-02-20 21:00:00,94610.7978,92517.2737,91826.1262,94154.6763,91978.1692,87165.245
2008-02-21 21:00:00,92814.5193,92886.4962,92699.2539,93027.1168,92857.3415,86332.077
2008-02-22 21:00:00,92831.1322,93227.2062,93014.1246,93829.5517,93177.3921,86649.4743
2008-02-25 21:00:00,93400.967,93160.6866,92903.0017,94984.7814,93070.733,87085.8957
2008-02-26 21:00:00,94295.0004,92776.0855,92369.2961,95704.2059,92540.7175,87423.1303
2008-02-27 21:00:00,95367.4504,92255.0927,91735.8874,95545.1024,91910.7602,87819.877
2008-02-28 21:00:00,95362.682,91669.377,91420.472,94770.3376,91599.3391,87522.317
2008-02-29 21:00:00,93850.4626,90728.0262,90442.0201,92176.259,90623.5528,85221.1863
2008-03-03 21:00:00,93299.1108,90662.2101,90353.2876,92273.1046,90539.1734,84645.9036
2008-03-04 21:00:00,94416.6757,89889.6411,89777.0477,91947.9801,89966.2749,85121.9996
2008-03-05 21:00:00,94719.4295,90230.0437,89939.9362,92487.5484,90134.0051,85558.4209
2008-03-06 21:00:00,92692.371,89739.6262,89852.0263,90495.2961,90050.4122,83654.0369
2008-03-07 21:00:00,93019.4124,88980.5636,89314.8563,89727.4488,89516.5587,83455.6636
2008-03-10 20:00:00,91265.527,89030.9942,89183.0102,88447.7034,89388.8907,81769.4902
2008-03-11 20:00:00,93376.3177,91011.044,90541.6102,91581.3503,90755.0964,84943.4636
2008-03-12 20:00:00,92741.9016,91253.9742,90917.6877,90834.2557,91136.5985,84725.2529
2008-03-13 20:00:00,94516.117,90067.9953,89891.3556,91256.2258,90112.352,85379.8849
2008-03-14 20:00:00,92155.5775,90643.8269,90492.5416,89416.1594,90719.5217,83812.7356
2008-03-17 20:00:00,92575.0327,88598.6516,88431.8551,88475.3735,88658.2023,82285.2609
2008-03-18 20:00:00,94959.8613,90464.5606,90026.3701,92224.6818,90261.2316,85935.3303
2008-03-19 20:00:00,92290.6462,91023.2356,90354.3762,90177.0891,90594.6064,83832.5729
2008-03-20 20:00:00,93987.4428,91237.6113,90527.4487,92270.9611,90772.6688,85545.8657
2008-03-24 20:00:00,96805.8413,91631.7371,90922.0919,93689.124,91172.9196,88503.9381
2008-03-25 20:00:00,97060.8243,91667.9502,91182.6842,93883.7738,91438.7895,89000.259
2008-03-26 20:00:00,97055.9713,91262.8922,90852.6906,93035.6568,91112.4409,88682.6137
2008-03-27 20:00:00,95456.8147,91510.6438,90380.3593,92076.3113,90643.3148,86776.7415
2008-03-28 20:00:00,94302.7436,91879.158,91016.8357,91346.3745,91286.1752,86339.9791
2008-03-31 20:00:00,94449.2585,91790.6562,91347.1364,91721.7706,91622.0177,86796.5943
2008-04-01 20:00:00,96932.281,92940.9286,92805.1261,95100.3351,93088.9759,90509.0745
2008-04-02 20:00:00,96482.0125,93112.9237,93024.407,95003.0102,93313.5818,90310.5461
2008-04-03 20:00:00,97116.2832,92617.698,92610.7674,95100.3351,92903.3221,90509.0745
2008-04-04 20:00:00,97302.3924,92714.6216,92971.7859,95218.5153,93270.1262,91045.101
2008-04-07 20:00:00,96496.1638,93319.1934,93534.7801,95274.1296,93839.5905,90846.5727
2008-04-08 20:00:00,96470.0937,92722.1327,92835.1334,94870.9264,93142.3558,90151.7234
2008-04-09 20:00:00,95277.4238,92819.4115,92973.598,94120.1343,93285.9357,89178.9345
2008-04-10 20:00:00,96544.7217,92821.6262,93010.3445,94502.4821,93327.47,90409.8103
2008-04-11 20:00:00,94910.8095,91806.4216,91984.5001,92660.2607,92302.7942,87908.3531
2008-04-14 20:00:00,94498.2608,91732.9541,91855.2606,92326.5753,92177.7227,87412.0322
2008-04-15 20:00:00,94279.9322,92253.3056,92288.7692,92820.1516,92617.3621,87630.4134
2008-04-16 20:00:00,95667.5824,92946.5348,93434.1055,94704.0837,93771.4071,90032.6064
2008-04-17 20:00:00,95325.8672,92791.7866,93594.2569,94877.8782,93936.8253,89873.7838
2008-04-18 20:00:00,95813.423,94466.4826,96070.5382,96601.9193,96426.867,92732.592
2008-04-21 20:00:00,96671.8163,93958.6994,95880.6277,96476.7873,96241.0734,93387.7355
2008-04-22 20:00:00,95819.1657,93554.5517,95284.7329,95719.0434,95647.7505,91998.0371
2008-04-23 20:00:00,96163.3306,93814.8626,95979.0798,95920.645,96349.5251,93010.5317
2008-04-24 20:00:00,96999.9003,93884.9626,95994.7673,96483.7391,96370.0906,93844.3507
2008-04-25 20:00:00,96646.5722,94292.9049,96091.5063,97158.0616,96472.0264,93606.1167
2008-04-28 20:00:00,96600.8399,94375.8983,96310.8813,97060.7367,96697.0937,93784.7922
2008-04-29 20:00:00,97517.9691,94222.4709,96122.5776,96678.3889,96512.8698,94499.4943
2008-04-30 20:00:00,96511.3363,94373.589,96319.7097,96233.4751,96715.6279,93725.2337
2008-05-01 20:00:00,99510.3571,94341.6006,96355.6985,97971.4198,96756.6004,96683.3061
2008-05-02 20:00:00,98715.9382,95274.0739,97261.0166,98256.4427,97670.5231,96822.276
2008-05-05 20:00:00,98427.6267,95073.8278,97256.1536,97818.4806,97670.5231,96544.3363
2008-05-06 20:00:00,99315.8411,94602.8604,96971.3019,98604.0317,97389.3413,97139.9213
2008-05-07 20:00:00,97545.3506,94631.4787,96986.2717,96824.3763,97409.2451,95432.5775
2008-05-08 20:00:00,97864.0068,94946.0808,97324.4152,97213.6759,97753.7338,96087.7211
2008-05-09 20:00:00,98205.4267,94099.4203,96595.6484,96581.064,97026.6399,95710.5172
2008-05-12 20:00:00,99848.122,94304.6831,96731.0736,97651.6379,97167.5207,97457.5667
2008-05-13 20:00:00,100066.7764,94534.9407,96765.6468,97602.9755,97207.1082,97715.6536
2008-05-14 20:00:00,99454.203,95001.542,97134.3451,97992.2751,97582.349,97497.2724
2008-05-15 20:00:00,101170.2416,95050.7088,97149.2673,99097.608,97602.2192,99204.6162
2008-05-16 20:00:00,101043.9485,95252.6607,97338.825,99167.1257,97797.5408,99284.0275
2008-05-19 20:00:00,100231.3523,95348.0586,97411.8136,99292.2578,97875.7632,98569.3255
2008-05-20 20:00:00,99821.1199,94969.4558,97053.7884,98458.0443,97520.9266,97814.9177
