sym,test,n,agree,ci_lo,ci_hi,vs50_p,R2,slope,exp_bps,net_opt,net_cons
ES,K60,1173.0,51.8,49.0,54.7,0.2201,0.873,0.043,1.9,1.5,0.7
ES,K30,1173.0,49.2,46.3,52.0,0.5992,0.174,0.0132,0.16,-0.24,-1.04
ES,B5_small,391.0,47.6,42.7,52.5,,,,,,
ES,B5_med,391.0,55.0,50.0,59.8,,,,,,
ES,B5_large,391.0,52.9,48.0,57.8,,,,,,
ES,B5_large_vs_small_fisherp,,,,,0.1526,,,,,
SPY,K60,1168.0,53.3,50.4,56.1,0.0282,1.765,0.0627,2.29,1.89,1.09
SPY,K30,1168.0,50.9,48.0,53.7,0.5783,0.954,0.0315,0.57,0.17,-0.63
SPY,B5_small,390.0,48.5,43.5,53.4,,,,,,
SPY,B5_med,389.0,56.0,51.1,60.9,,,,,,
SPY,B5_large,389.0,55.3,50.3,60.1,,,,,,
SPY,B5_large_vs_small_fisherp,,,,,0.0624,,,,,
