sym,test,n,agree,exp_bps,avg_atr,avg_move,vs50
ES,year2021,237.0,51.9,2.67,1.05,41.7,
ES,year2022,250.0,57.6,4.02,1.98,87.5,
ES,year2023,249.0,53.0,3.06,1.15,49.2,
ES,year2024,251.0,47.4,-1.49,1.0,41.4,
ES,year2025,186.0,48.4,1.08,1.41,60.8,
ES,early_vs_late_fisherp,,47.8,-0.4,,,0.0347
SPY,year2021,236.0,53.8,3.22,1.06,41.6,
SPY,year2022,250.0,58.4,4.19,2.01,87.0,
SPY,year2023,248.0,54.0,3.1,1.17,48.9,
SPY,year2024,249.0,49.8,-1.45,1.01,41.2,
SPY,year2025,185.0,49.2,2.49,1.43,60.7,
SPY,early_vs_late_fisherp,,49.5,0.23,,,0.0524
