instrument,outcome,variable,bucket,n,win,win_rate,ci_lo,ci_hi,base_rate,delta_pp,fisher_p_vs_rest,flag
ES,rev30_excl,B1_direction,long,79,44,55.7,44.73,66.13,53.73,1.96,0.6019,
ES,rev30_excl,B1_direction,short,55,28,50.91,38.08,63.62,53.73,-2.82,0.6019,
ES,rev30_excl,B2_dist_atr,small,38,20,52.63,37.26,67.52,53.73,-1.1,1.0,
ES,rev30_excl,B2_dist_atr,med,46,25,54.35,40.18,67.85,53.73,0.62,1.0,
ES,rev30_excl,B2_dist_atr,large,50,27,54.0,40.4,67.03,53.73,0.27,1.0,
ES,rev30_excl,B3_vol_ratio,vol>1.0,89,51,57.3,46.94,67.07,53.73,3.57,0.2742,
ES,rev30_excl,B3_vol_ratio,vol<=1.0,45,21,46.67,32.94,60.92,53.73,-7.06,0.2742,
ES,rev30_excl,B5_origin,overnight/gap(2),106,54,50.94,41.56,60.26,53.73,-2.79,0.2868,
ES,rev30_excl,B5_origin,rth_fresh(1),28,18,64.29,45.83,79.29,53.73,10.55,0.2868,n<30
ES,rev30_excl,B6_poc_dist_atr,poc_low,59,29,49.15,36.84,61.56,53.73,-4.58,0.3855,
ES,rev30_excl,B6_poc_dist_atr,poc_mid,37,22,59.46,43.49,73.65,53.73,5.73,0.4438,
ES,rev30_excl,B6_poc_dist_atr,poc_high,38,21,55.26,39.71,69.85,53.73,1.53,0.8498,
ES,rev30_excl,B8_prevday_body,body_neg,59,30,50.85,38.44,63.16,53.73,-2.88,0.6027,
ES,rev30_excl,B8_prevday_body,body_mid,39,20,51.28,36.2,66.13,53.73,-2.45,0.8489,
ES,rev30_excl,B8_prevday_body,body_pos,36,22,61.11,44.86,75.22,53.73,7.38,0.3332,
ES,rev30_excl,B8_inside_day,inside_day,9,6,66.67,35.42,87.94,53.73,12.94,0.5042,n<30
ES,rev30_excl,B8_inside_day,not_inside,125,66,52.8,44.1,61.34,53.73,-0.93,0.5042,
ES,rev30_excl,B7_calendar,event,12,5,41.67,19.33,68.05,53.73,-12.06,0.5458,n<30
ES,rev30_excl,B7_calendar,non_event,122,67,54.92,46.07,63.46,53.73,1.19,0.5458,
ES,rev30_raw,B1_direction,long,144,44,30.56,23.62,38.5,35.12,-4.57,0.0389,
ES,rev30_raw,B1_direction,short,61,28,45.9,34.01,58.28,35.12,10.78,0.0389,
ES,rev30_raw,B2_dist_atr,small,69,20,28.99,19.62,40.57,35.12,-6.14,0.2172,
ES,rev30_raw,B2_dist_atr,med,68,25,36.76,26.3,48.64,35.12,1.64,0.7574,
ES,rev30_raw,B2_dist_atr,large,68,27,39.71,28.93,51.58,35.12,4.58,0.354,
ES,rev30_raw,B3_vol_ratio,vol>1.0,110,51,46.36,37.33,55.65,35.12,11.24,0.0004,
ES,rev30_raw,B3_vol_ratio,vol<=1.0,95,21,22.11,14.94,31.44,35.12,-13.02,0.0004,
ES,rev30_raw,B5_origin,overnight/gap(2),165,54,32.73,26.03,40.21,35.12,-2.39,0.1956,
ES,rev30_raw,B5_origin,rth_fresh(1),40,18,45.0,30.71,60.17,35.12,9.88,0.1956,
ES,rev30_raw,B6_poc_dist_atr,poc_low,69,29,42.03,31.11,53.79,35.12,6.91,0.1641,
ES,rev30_raw,B6_poc_dist_atr,poc_mid,68,22,32.35,22.44,44.16,35.12,-2.77,0.6417,
ES,rev30_raw,B6_poc_dist_atr,poc_high,68,21,30.88,21.17,42.64,35.12,-4.24,0.4379,
ES,rev30_raw,B8_prevday_body,body_neg,69,30,43.48,32.43,55.21,35.12,8.36,0.0889,
ES,rev30_raw,B8_prevday_body,body_mid,68,20,29.41,19.92,41.11,35.12,-5.71,0.2772,
ES,rev30_raw,B8_prevday_body,body_pos,68,22,32.35,22.44,44.16,35.12,-2.77,0.6417,
ES,rev30_raw,B8_inside_day,inside_day,12,6,50.0,25.38,74.62,35.12,14.88,0.3506,n<30
ES,rev30_raw,B8_inside_day,not_inside,193,66,34.2,27.87,41.14,35.12,-0.93,0.3506,
ES,rev30_raw,B7_calendar,event,17,5,29.41,13.28,53.13,35.12,-5.71,0.7921,n<30
ES,rev30_raw,B7_calendar,non_event,188,67,35.64,29.14,42.71,35.12,0.52,0.7921,
ES,rev10_raw,B1_direction,long,144,75,52.08,43.98,60.08,49.76,2.33,0.3599,
ES,rev10_raw,B1_direction,short,61,27,44.26,32.51,56.7,49.76,-5.49,0.3599,
ES,rev10_raw,B2_dist_atr,small,69,37,53.62,41.98,64.89,49.76,3.87,0.4622,
ES,rev10_raw,B2_dist_atr,med,68,32,47.06,35.67,58.76,49.76,-2.7,0.6569,
ES,rev10_raw,B2_dist_atr,large,68,33,48.53,37.05,60.17,49.76,-1.23,0.8823,
ES,rev10_raw,B3_vol_ratio,vol>1.0,110,56,50.91,41.7,60.06,49.76,1.15,0.7799,
ES,rev10_raw,B3_vol_ratio,vol<=1.0,95,46,48.42,38.63,58.33,49.76,-1.34,0.7799,
ES,rev10_raw,B5_origin,overnight/gap(2),165,77,46.67,39.22,54.27,49.76,-3.09,0.0802,
