band,side,block,ot,n,rev
1,lower,1,0,253,238
1,lower,1,1,250,238
1,lower,1,2,251,232
1,lower,2,0,79,75
1,lower,2,1,86,81
1,lower,2,2,71,67
1,lower,3,0,56,49
1,lower,3,1,53,50
1,lower,3,2,42,33
1,lower,4,0,42,42
1,lower,4,1,36,34
1,lower,4,2,26,21
1,lower,5,0,34,32
1,lower,5,1,41,33
1,lower,5,2,25,16
1,lower,6,0,34,26
1,lower,6,1,25,18
1,lower,6,2,26,15
1,lower,7,0,29,24
1,lower,7,1,24,15
1,lower,7,2,20,12
1,lower,8,0,34,23
1,lower,8,1,25,20
1,lower,8,2,21,14
1,lower,9,0,24,15
1,lower,9,1,31,24
1,lower,9,2,26,16
1,lower,10,0,27,14
1,lower,10,1,17,7
1,lower,10,2,18,9
1,lower,11,0,24,14
1,lower,11,1,17,7
1,lower,11,2,18,6
1,lower,12,0,32,5
1,lower,12,1,34,8
1,lower,12,2,20,5
1,lower,13,0,4,0
1,lower,13,2,3,0
1,upper,1,0,285,250
1,upper,1,1,273,243
1,upper,1,2,252,223
1,upper,2,0,75,63
1,upper,2,1,88,77
1,upper,2,2,67,55
1,upper,3,0,51,41
1,upper,3,1,51,43
1,upper,3,2,43,29
1,upper,4,0,45,39
1,upper,4,1,50,35
1,upper,4,2,36,28
1,upper,5,0,33,25
1,upper,5,1,26,22
1,upper,5,2,25,14
1,upper,6,0,28,20
1,upper,6,1,24,16
1,upper,6,2,19,14
1,upper,7,0,27,19
1,upper,7,1,22,13
1,upper,7,2,36,24
1,upper,8,0,24,17
1,upper,8,1,18,9
1,upper,8,2,19,14
1,upper,9,0,47,29
1,upper,9,1,23,12
1,upper,9,2,18,13
1,upper,10,0,36,19
1,upper,10,1,19,9
1,upper,10,2,19,12
1,upper,11,0,32,14
1,upper,11,1,15,4
1,upper,11,2,22,10
1,upper,12,0,23,10
1,upper,12,1,30,7
1,upper,12,2,32,8
1,upper,13,0,5,0
1,upper,13,1,4,0
1,upper,13,2,2,0
2,lower,1,0,121,110
2,lower,1,1,132,122
2,lower,1,2,116,100
2,lower,2,0,42,39
2,lower,2,1,48,43
2,lower,2,2,41,36
2,lower,3,0,25,22
2,lower,3,1,25,23
2,lower,3,2,24,20
2,lower,4,0,22,18
2,lower,4,1,10,7
2,lower,4,2,10,6
2,lower,5,0,17,14
2,lower,5,1,20,16
2,lower,5,2,16,9
2,lower,6,0,16,12
2,lower,6,1,15,9
2,lower,6,2,16,7
2,lower,7,0,17,11
2,lower,7,1,12,5
2,lower,7,2,13,5
2,lower,8,0,11,8
2,lower,8,1,14,10
2,lower,8,2,10,4
2,lower,9,0,15,6
2,lower,9,1,19,12
2,lower,9,2,13,8
2,lower,10,0,14,5
2,lower,10,1,13,3
2,lower,10,2,12,3
2,lower,11,0,9,2
2,lower,11,1,10,1
2,lower,11,2,8,0
2,lower,12,0,15,1
2,lower,12,1,11,1
2,lower,12,2,12,0
2,lower,13,0,2,0
2,upper,1,0,135,112
2,upper,1,1,133,112
2,upper,1,2,121,102
2,upper,2,0,34,22
2,upper,2,1,52,47
2,upper,2,2,40,28
2,upper,3,0,26,18
2,upper,3,1,29,16
2,upper,3,2,34,23
2,upper,4,0,20,14
2,upper,4,1,16,9
2,upper,4,2,22,9
2,upper,5,0,20,14
2,upper,5,1,17,11
2,upper,5,2,13,6
2,upper,6,0,16,10
2,upper,6,1,8,5
2,upper,6,2,6,3
2,upper,7,0,10,4
2,upper,7,1,9,4
2,upper,7,2,12,7
2,upper,8,0,12,9
2,upper,8,1,6,3
2,upper,8,2,10,3
2,upper,9,0,22,13
2,upper,9,1,13,2
2,upper,9,2,13,4
2,upper,10,0,19,9
2,upper,10,1,16,6
2,upper,10,2,10,4
2,upper,11,0,13,1
2,upper,11,1,12,3
2,upper,11,2,5,1
2,upper,12,0,16,1
2,upper,12,1,14,1
2,upper,12,2,11,0
2,upper,13,0,1,0
2,upper,13,1,1,0
