band,vt,cagr,sharpe,mdd,hit,tpd
10,10.0,4.0,0.42,12.7,29.3,4.48
10,12.5,4.3,0.4,14.4,29.3,4.48
10,15.0,4.5,0.38,15.3,29.3,4.48
10,17.5,4.9,0.39,16.2,29.3,4.48
10,20.0,5.2,0.4,18.5,29.3,4.48
15,10.0,5.0,0.52,11.4,32.9,3.32
15,12.5,5.4,0.49,13.7,32.9,3.32
15,15.0,5.4,0.45,16.3,32.9,3.32
15,17.5,5.6,0.44,18.7,32.9,3.32
15,20.0,5.9,0.44,19.9,32.9,3.32
20,10.0,8.3,0.81,9.6,36.4,2.6
20,12.5,9.1,0.78,11.4,36.4,2.6
20,15.0,9.7,0.75,12.2,36.4,2.6
20,17.5,10.3,0.74,12.5,36.4,2.6
20,20.0,10.7,0.74,13.5,36.4,2.6
25,10.0,10.7,1.04,8.2,39.6,2.13
25,12.5,11.6,0.99,9.3,39.6,2.13
25,15.0,12.2,0.94,10.3,39.6,2.13
25,17.5,12.4,0.89,11.9,39.6,2.13
25,20.0,12.7,0.86,12.8,39.6,2.13
30,10.0,8.6,0.87,10.3,41.4,1.79
30,12.5,9.6,0.85,11.8,41.4,1.79
30,15.0,10.1,0.81,13.0,41.4,1.79
30,17.5,10.4,0.78,13.9,41.4,1.79
30,20.0,10.9,0.78,14.4,41.4,1.79
