band_bps,tp_points,is_total_ret_pct,sharpe
8,0,28.76,0.481
8,40,-17.81,-0.611
8,55,-10.33,-0.288
8,75,-1.91,-0.02
8,100,0.82,0.05
8,130,12.4,0.285
8,180,28.49,0.526
8,250,26.71,0.481
10,0,39.24,0.581
10,40,-16.49,-0.517
10,55,-2.47,-0.037
10,75,8.29,0.221
10,100,14.01,0.315
10,130,16.93,0.35
10,180,41.81,0.668
10,250,33.84,0.551
12,0,37.89,0.512
12,40,-23.77,-0.755
12,55,-9.09,-0.228
12,75,4.03,0.095
12,100,10.42,0.208
12,130,10.46,0.199
12,180,35.06,0.529
12,250,27.79,0.424
14,0,39.29,0.505
14,40,-22.88,-0.683
14,55,-15.31,-0.383
14,75,4.19,0.096
14,100,8.08,0.16
14,130,7.83,0.15
14,180,36.75,0.524
14,250,27.34,0.4
16,0,70.84,0.751
16,40,-8.53,-0.214
16,55,0.82,0.031
16,75,16.89,0.324
16,100,23.27,0.393
16,130,31.77,0.481
16,180,58.87,0.729
16,250,55.77,0.674
18,0,79.96,0.789
18,40,-4.5,-0.098
18,55,8.66,0.194
18,75,24.67,0.435
18,100,35.76,0.547
18,130,37.09,0.527
18,180,71.62,0.812
18,250,67.85,0.751
20,0,91.11,0.847
20,40,4.99,0.13
20,55,8.33,0.183
20,75,23.27,0.405
20,100,45.96,0.654
20,130,50.11,0.652
20,180,80.55,0.864
20,250,77.19,0.806
22,0,65.7,0.657
22,40,-5.92,-0.123
22,55,-1.26,-0.008
22,75,10.76,0.202
22,100,28.17,0.426
22,130,36.27,0.491
22,180,55.61,0.641
22,250,55.97,0.62
24,0,72.91,0.687
24,40,0.95,0.038
24,55,4.11,0.098
24,75,18.36,0.315
24,100,33.14,0.477
24,130,45.28,0.574
24,180,56.5,0.636
24,250,52.89,0.583
26,0,47.1,0.493
26,40,-9.02,-0.188
26,55,0.68,0.033
26,75,17.08,0.291
26,100,19.31,0.299
26,130,25.45,0.356
26,180,31.3,0.398
26,250,29.93,0.37
28,0,27.74,0.326
28,40,-23.45,-0.545
28,55,-11.63,-0.21
28,75,-1.8,-0.007
28,100,4.55,0.096
28,130,15.56,0.236
28,180,14.44,0.213
28,250,14.4,0.207
30,0,50.29,0.507
30,40,-10.61,-0.217
30,55,11.89,0.23
30,75,13.31,0.232
30,100,22.23,0.331
30,130,40.86,0.508
30,180,34.74,0.423
30,250,36.91,0.426
