band,scenario,cagr,sharpe,mdd,tpd,trades,era0,era1
2.5,GROSS,28.9,1.56,9.8,9.4,18808,36.6,19.7
2.5,net_opt,16.9,0.98,13.1,9.4,18808,24.6,8.4
2.5,net_cons,-3.8,-0.13,50.7,9.4,18808,3.8,-11.1
5.0,GROSS,22.3,1.22,12.9,6.7,13479,28.1,15.3
5.0,net_opt,14.0,0.82,16.3,6.7,13479,20.0,7.3
5.0,net_cons,-0.9,0.04,42.7,6.7,13479,5.2,-7.0
10.0,GROSS,20.1,1.12,17.3,4.4,8707,24.6,14.5
10.0,net_opt,14.8,0.86,19.3,4.4,8707,19.5,9.4
10.0,net_cons,4.9,0.35,24.0,4.4,8707,9.8,-0.3
20.0,GROSS,18.4,1.04,20.6,2.5,5051,21.9,13.9
20.0,net_opt,15.4,0.89,20.9,2.5,5051,18.9,10.9
20.0,net_cons,9.5,0.59,22.5,2.5,5051,13.3,5.1
